Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,RT_mean,RT_ACC,NoRespFreq,CleanFreq,CBDA_Ind_c1A_fdr0545,CBDA_Ind_c2O_fdr0545,CBDA_Ind_c3E_fdr0545
16-09-11.4CBDPC,100,1,7.74,8,CBDC,CBDPC,55.8991,60.1821,103.9235,-53.8262,82.4979,191.4628,656.3125,659.5,587.9286,603.75,734.625,758.9375,710.1833,716.8125,1,1,0.875,1,0.9375,1,0.6875,0.875,0.92188,680.4221556,736.0027064,0.041667,0.075,-1.25E-01,4.94E-01,1.16E-01
16-09-17.2CBDPC,102,1,10.27,10,CBDC,CBDPC,77.55,-12.2435,10.0217,96.0284,-98.3864,146.684,665.7232,663.9375,600.4405,652.8625,675.5,623.1667,664.4286,632.875,0.9375,0.8125,0.8125,0.8125,0.75,0.75,0.75,0.625,0.78125,647.326,828.62944,0.14583,0.2125,3.96E-01,3.03E-01,3.19E-01
16-09-24.1CBDPC,105,1,9.76,10,CBDC,CBDPC,34.4302,57.2711,75.6659,97.8056,45.6237,290.7013,538.5,539.2857,504.25,475.625,614.5833,603.1042,583.4429,571.675,0.875,0.875,1,0.75,0.6875,0.6875,0.75,0.5625,0.77344,550.8295667,716.0326108,0.11458,0.19375,-1.86E-01,1.75E-01,-1.88E-01
16-09-24.2CBDPC,106,2,8.38,8,CBDC,CBDPC,69.2521,36.9605,48.2531,379.5965,77.1151,151.7383,752.9107,711.0208,699.2083,762.8714,802.7,822.5,765.3875,710.1667,0.6875,0.875,0.875,0.75,0.8125,0.625,0.8125,0.6875,0.76563,750.3350444,983.9552721,0.1875,0.21875,3.37E-01,-6.32E-01,-1.23E-01
16-09-24.4CBDPC,108,2,8.36,8,CBDC,CBDPC,-12.2893,57.5137,25.4214,-141.0432,212.7449,375.2966,800.8571,810.3333,782.5833,740.8,815.1667,815.5714,863.3333,757.25,0.9375,0.625,0.75,0.75,0.375,0.6875,0.5,0.75,0.67188,793.2661222,1188.064666,0.35417,0.35,3.90E-01,5.27E-01,9.17E-02
16-10-06.1CBDPC,112,2,9.52,10,CBDC,CBDPC,23.2764,32.5435,31.2531,-7.7187,39.052,65.9827,689.6696,653.7143,656.5,639.8571,710.6607,674.4286,705.25,678.1458,0.9375,0.875,0.875,0.875,0.9375,0.875,0.75,0.875,0.875,677.5251222,772.6037286,0.098958,0.11875,2.20E-01,4.26E-01,-2.80E-02
16-10-06.2CBDPC,113,2,7.25,7,CBDC,CBDPC,11.9654,14.153,83.4857,276.5519,-186.2054,470.7499,700,731.4792,744.5,769.9524,836.9667,845.8333,805.9333,812.5714,0.5,0.875,0.625,0.625,0.5,0.5625,0.5,0.5625,0.59375,785.5818111,1315.207642,0.375,0.4,-7.73E-02,8.62E-02,-1.62E-01
16-10-06.3CBDPC,114,1,9.08,9,CBDC,CBDPC,78.5925,83.5541,71.3522,143.6011,74.0225,77.2731,628.3542,630.0625,545.4107,554.3393,692.3125,696.2857,655.5,615.1875,0.875,1,0.9375,0.9375,0.9375,0.9375,1,0.875,0.9375,624.3558222,668.9936533,0.041667,0.071875,1.45E-01,-2.67E-01,-7.72E-02
16-10-07.2CBDPC,116,2,8.73,9,CBDC,CBDPC,26.914,117.0898,58.5827,140.9633,191.9391,82.1282,670.7667,724,621.2738,560.5714,726.7857,735.3125,703.4,635.55,0.6875,0.75,0.8125,0.875,0.875,0.75,0.8125,0.8125,0.79688,666.1011222,843.5492326,0.22917,0.225,6.42E-02,3.03E-01,-1.51E-01
16-10-15.3CBDPC,123,1,8.45,8,CBDC,CBDPC,42.5597,21.6276,45.5963,79.9086,56.0873,93.9641,643.9464,647.4643,608.3452,575.6875,708.9833,665.9107,653.0375,662.2143,0.9375,0.8125,0.8125,1,0.6875,0.9375,0.8125,0.9375,0.86719,649.2599111,744.5872877,0.11458,0.13125,1.26E-01,2.40E-01,1.02E-01
16-10-16.2CBDPC,126,1,7.95,8,CBDC,CBDPC,13.6349,87.5541,59.4494,-186.4177,128.4057,40.6359,652.9286,688.8333,664.6857,596.3667,732.4375,737,738.1667,630.6,0.75,0.625,0.75,0.6875,0.9375,0.75,0.5625,0.6875,0.71875,671.6965,946.264087,0.27083,0.275,4.22E-03,3.66E-01,2.38E-01
16-10-16.3CBDPC,127,1,8.43,8,CBDC,CBDPC,66.6584,29.5143,55.344,151.8524,104.6836,102.291,740.6518,618.3958,598,585.2143,690.1607,746.7667,665.4375,679.8333,0.9375,0.875,0.875,0.9375,0.9375,0.6875,0.9375,0.875,0.88281,667.9400111,753.9079898,0.041667,0.12187,5.13E-01,-3.76E-01,2.39E-01
16-10-22.2CBDPC,131,1,7.52,8,CBDC,CBDPC,91.6606,65.2785,40.117,74.6282,127.7468,78.1718,668.7286,586.0208,524.2262,520.0952,614.5,659.8571,573,597.2976,0.75,0.875,0.8125,0.8125,0.875,0.8125,0.625,0.8125,0.79688,594.4695,744.109135,0.14063,0.22813,-3.06E-01,-6.70E-01,-7.82E-02
