Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,NoRespFreq,CleanFreq
17-07-01.3CBDHA,67,1,20.36,20,CBDA,CBDHA,49.9438,15.1875,73.2215,73.5157,15.1875,74.6118,511.1161,465.125,465.9375,464.1875,614.25,541.5,538.75,515.1875,0.9375,1,1,1,0.9375,1,1,1,0.98438,0.010417,0.021875
17-06-13.4CBDHA,35,1,19.99,20,CBDA,CBDHA,28.2861,83.2745,66.1759,16.3895,102.3642,108.581,541.25,593.25,524.9911,502.8125,638.0268,620.4405,582.3125,575.3482,1,1,0.9375,1,0.9375,0.8125,1,0.9375,0.95313,0.026042,0.05
17-07-02.5CBDPA,34,1,20.15,20,CBDA,CBDPA,60.3221,34.3234,53.4766,61.8749,25.4084,69.641,520.75,425.0625,416.9375,411.625,537.6071,523.4375,463.3304,475.3125,1,1,1,1,0.9375,1,0.9375,1,0.98438,0.0052083,0.0375
17-06-22.4CBDPA,17,2,20.36,20,CBDA,CBDPA,27.0068,-14.6379,16.3729,34.0575,-69.2538,77.7293,595.7917,610.1339,605,658.025,665.75,623.1071,591.4048,656.3333,0.875,0.9375,0.875,0.8125,0.8125,0.8125,0.8125,0.75,0.83594,0.16667,0.16563
17-07-01.4CBDHA,68,1,20.08,20,CBDA,CBDHA,25.2491,29.7083,52.9041,26.7434,29.7083,69.588,491.625,465.625,468.625,442.4375,553.3125,544.1875,534.3125,484,1,1,1,1,0.9375,1,0.9375,1,0.98438,0.010417,0.025
17-09-17.2CBDHA,76,2,19.64,20,CBDA,CBDHA,48.1096,36.1784,49.7623,48.1096,46.9592,58.3169,542.0625,508,487.375,442.0625,581.375,531.9911,517.125,509.1875,1,1,1,1,1,0.9375,1,1,0.99219,0,0.01875
17-09-16.1CBDPA,35,2,19.51,20,CBDA,CBDPA,61.0127,8.0176,72.5493,85.7868,-5.2313,111.2443,546.25,523.75,497.25,513.75,618.1875,604.4554,568.1875,562.8125,1,1,1,1,0.9375,0.9375,1,0.875,0.96875,0.020833,0.03125
17-05-20.4CBDPA,4,2,19.95,20,CBDA,CBDPA,65.4109,43.9639,57.1524,57.147,57.4835,40.9694,607.2768,538.1696,530.6875,510.8214,663.8929,594.7054,621.9375,540.5,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,1,0.9375,0.015625,0.053125
17-09-17.3CBDHA,77,2,19.64,20,CBDA,CBDHA,38.1368,-2.4656,35.2903,49.6911,19.7877,45.4043,578.0536,523.6875,531.5625,502.0625,617.875,544.7857,551.25,533.5625,0.9375,1,1,1,1,0.875,1,1,0.97656,0.0052083,0.03125
17-06-24.4CBDHA,55,2,20.16,20,CBDA,CBDHA,51.5172,12.5702,50.9815,52.3858,35.8245,61.7617,512.625,502.2411,512.25,483.7143,598.0625,547.0208,523.6786,528.125,1,0.9375,1,0.9375,1,0.875,0.9375,1,0.96094,0,0.04375
